text,true_label,original_confidence,masked_confidence,delta
Okay طيب في مغني معين يتحب تسمعله او اغنيه معينه بتحب تسمعها?,positive,0.9969,0.0269,0.97
اكتر الطلبات بتتاخر او الاكل بوصل بارد [NEG_EMOJI],negative,0.992,0.9925,-0.0004
بجنن رائع شو مابدي بلاقي وزياده [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [P,positive,0.9967,0.984,0.0127
دايما يعني بيبقي في ال weekends قرايبغي لان والدي و والدتي مش قاعدين م,neutral,0.8971,0.0002,0.8968
"Flashback بقي، نهار داخلي، الحمام اللي كان فيه ""ارخميدس""،",neutral,0.9987,0.0002,0.9985
okay و من غير ما اقول اسم الفيلم؟,neutral,0.9988,0.0003,0.9985
Okay طيب ممكن تقوليلنا اتولدتي فين او منين يعني؟,positive,0.9983,0.0768,0.9215
بس فماكملتش ال task ده اوي علشان كان في concepts كتير ماعرفهاش، فضيعت ,neutral,0.9985,0.0002,0.9983
فاشل اول مافتحته بيقول هناك تحديث جديد ومش ظاهر اي حاجه مفيش كلمه تحدي,negative,0.9941,0.9623,0.0317
بنك امريكي تالت وهو Signature Bank انهار برضو,neutral,0.8595,0.0003,0.8591
"ووعده ""بيتهوفن"" انه يعزف في الConcert بتاعه،",positive,0.999,0.0374,0.9616
بس برضه it .. it feels good to less responsible ف maybe I will to say ,positive,0.9993,0.9995,-0.0002
مجله Strund، ممكن انا؟! انا، انا، هاكتب انا!,neutral,0.9758,0.0002,0.9755
ما .. لا ماكنتش حابب ان انا اخش في .. في حاجه زي كده حتي لو يعني .. حت,neutral,0.9992,0.0002,0.999
طيب ممكن تحكيلنا عن واحده فيهم و ايه ال experience اللي انت اخدتها و ك,positive,0.9476,0.1025,0.8451
عن ان استخدام جرعه واحده من الLSD ضمن برنامج علاجي للتعامل مع ادمان ال,neutral,0.9966,0.0003,0.9963
"كدا، انقذ ""ماركوس"" ملايين الاجهزه في العالم من فيروس WannaCry،",neutral,0.9964,0.0002,0.9962
والسعوديه اشترت تقريبا 30% من PFL,neutral,0.9929,0.0009,0.992
"عن طريق ما يسمي بالSelective Pressure، او ""الضغط الانتقائي""،",neutral,0.9261,0.0002,0.926
حلو بس احيانن في لخبطه ونسيان بس عادي عشان عندهم ضغوط الطلبات [POS_EMO,positive,0.9866,0.949,0.0376
واخص بالذكر الزميل Edward Soja,positive,0.9964,0.0023,0.9942
من حملت التطبيق واستغنيت تماما عن الطلب من التلفون مره ممتاز واطلب من ,positive,0.9975,0.2137,0.7838
days مافتكرهمش خالص,positive,0.9772,0.0129,0.9643
دا كمان الخواجه الاوروبي صك مصطلح الBelly Dance،,neutral,0.9928,0.0002,0.9926
تمام، Ok. انا سعيد ان الهجوم بيننا بقي رايح جاي.,neutral,0.9992,0.0002,0.9989
اسمها Stablecoins,negative,0.9979,0.0006,0.9973
Style الحكي كان قادر يخلي كل هذه الشعوب,neutral,0.9988,0.0003,0.9985
طيب انتي بعد ال .. بعد المدرسه دخلتي جامعه، دخلتي major ايه؟ و امتي كن,neutral,0.9972,0.0002,0.997
هنا، Five Cats.,neutral,0.999,0.9984,0.0006
هي ال PhD بتاعتي تبع usable security,neutral,0.9983,0.0004,0.9979
يعني I remember في CS one اينعم كنت جايب B minus بس انا كنت بشرح لناس,neutral,0.9991,0.0003,0.9988
واو برنامج رائع شكرا لاهتمامكم [POS_EMOJI],positive,0.9968,0.9082,0.0886
مافيه شي جديد عادي زي اول لو اطلب دايركت علي تلفونهم نفس الشيء والمفرو,negative,0.9971,0.9668,0.0302
حلو عجيب انصحكم نزلوه والله حلوووو [POS_EMOJI],positive,0.9935,0.929,0.0645
North وSouth، الN مع الS والS مع الN،,neutral,0.9985,0.0003,0.9982
hopefully ببقي في الجامعه around سبعه و نص، حاجه كده.,neutral,0.999,0.0002,0.9988
فده ال turning point,positive,0.9843,0.0015,0.9828
و بعدين ان هي مش .. مش based on routine، يعني مش كل يوم بتروح الشغل، ت,neutral,0.9991,0.0002,0.9989
"وبالفعل، بيشترك ""اميتاب"" بصوته بس، في فيلم Bhuvan Shome سنه ٦٩.",positive,0.9911,0.0285,0.9626
وبيفرقوا بينها وبين الAquaphobia، اللي هي عباره عن رهاب نفسي بسيط من ا,neutral,0.9987,0.0002,0.9985
I have to set my alarm في الاول وبعد كده بنزل، بفطر برضه قبل ما .. ما ,neutral,0.9696,0.0002,0.9694
طيب وحشتك حياتك و انت في الجامعه ك student يعني حياتك في ال university,neutral,0.9929,0.0002,0.9927
ليشش مافيه القصيم :( I'm very sad,negative,0.9987,0.9986,0.0001
وصاحب الكتاب المشهور، Ten Myths About Israel,neutral,0.999,0.2353,0.7637
ممتاز [POS_EMOJI],positive,0.9932,0.9891,0.0041
يعني .. يعني مثلا ال major بتاعي مثلا انا بدرس computer systems و comp,positive,0.9867,0.0098,0.9769
يعتبروا ان الUnicode، رغم انها تبدو ديمقراطيه،,neutral,0.9961,0.0002,0.9959
"ان هما يستعينوا بBarber Surgeon، ""حلاق صحه""،",positive,0.9977,0.0177,0.98
طيب بتحسي ساعات الموضوع صعب لو ببتعاملي مع ناس ال social level بتاعهم ,neutral,0.999,0.0002,0.9988
البطاريه Underdog الاخترىعات.,neutral,0.9361,0.0009,0.9351
الEQ، اللي اتكلمنا عنه دا، في الفيل كانت كام؟,neutral,0.9963,0.0002,0.996
ASML الهولنديه اللي هي بالمناسبه اكبر,neutral,0.9914,0.0002,0.9912
Okay طيب، و ايه اكتر مكان نفسك تروح تزوره دلوقتي؟,neutral,0.9173,0.0003,0.917
تطبيق مميز وسهل ومرن للاستخدام [POS_EMOJI],positive,0.9945,0.9082,0.0863
تصبع مرتفع سعر التوصيل + رسوم الخدمه + غير متوفر الدفع نقدا [NEG_EMOJI,negative,0.9954,0.9903,0.0051
واللي بالمناسبه، قريبه من كلمه Hole اللي معناها حفره او ثقب.,negative,0.8114,0.9431,-0.1317
بيكون هو الميت، الGhost، الشبح،,neutral,0.9976,0.0003,0.9973
من Cinna - Cinnabon او، يا عزيزي، طائر القرفه.,positive,0.9927,0.0127,0.98
Speaker13: او الحريه,positive,0.999,0.0062,0.9928
بس في الاخر، راحت ولا جت، هي حته معدن، بس خلينا نقول Electrodes.,neutral,0.9986,0.0002,0.9984
XX دا يلبس اي حد عادي!,positive,0.9638,0.0061,0.9578
جزاكم الله خير [POS_EMOJI] تم التعامل مع مشكلتي بكل رقي و صداره رحب.. ,positive,0.9985,0.267,0.7315
،In-Vitro Meat ما تيجي نعمل,positive,0.9985,0.0056,0.9929
لما كانوا عاملين في 2007 الBattle of Billionaires، صراع الاثرياء.,neutral,0.9987,0.0005,0.9983
النوع التاني من اللقاحات اسمه الSubunit Vaccines،,neutral,0.9646,0.0002,0.9644
الديلفري سرق العرض [NEG_EMOJI] ومشكور خدمه العملاء انها رجعتلي العرض م,negative,0.995,0.8637,0.1313
انا ممكن اقنعك دلوقت ان انت ال project بتاعك ده مالوش لزمه,positive,0.9983,0.0432,0.9551
تطبيق فوق الممتاز [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS,positive,0.9967,0.986,0.0106
التطبيق مس عاوز يشتغل اصلا . البيانات بيقول غير صحيحه او ح دث internal,negative,0.993,0.9443,0.0486
و كنت يعني مثلا وانت في ثانوي او كده كنت حاسه انه انا او انت في ال IG ,neutral,0.9989,0.0002,0.9987
والمعروفه اختصارا ب EUV,positive,0.9968,0.0074,0.9894
للاسف، يا عزيزي، ما كانش Ciao اوي!,neutral,0.9975,0.0002,0.9973
شوف صورها، هتطلع في الGraphics.,positive,0.9986,0.0114,0.9872
طيب بيبقي عندك plans او حاجه معينه في ال weekends بتعملها؟,neutral,0.999,0.0002,0.9987
FTX المعروفه باسم FTT,positive,0.9993,0.0048,0.9945
عند استخدام الترجمه الفوريه يقوم جوجل بالترجمه المباشره من صور لكتابه ,neutral,0.9845,0.0003,0.9842
انه الاجمل علي الاطلاق اجمل تطبيق في الامارات انا احب هذا التطبيق جداا,positive,0.9966,0.8897,0.1069
برنامج جميل جدا [POS_EMOJI] ،لكن ليه ماتحطون مدينه الملك خالد العسكريه,positive,0.9868,0.5043,0.4825
رائع روووعه [POS_EMOJI] [POS_EMOJI],positive,0.9917,0.9823,0.0094
تطبيق رائع انه جميل فعلا [POS_EMOJI] [POS_EMOJI] [POS_EMOJI],positive,0.9908,0.9712,0.0196
كمان، اضطرت ترخص سعر الQuest Pro بعد 4 شهور بس من نزولها،,neutral,0.9984,0.0002,0.9982
انصح فيه وبقوه [POS_EMOJI],positive,0.9959,0.9919,0.004
في semester 3 لما كان لازم نختار major فكان لازم اختار ال major بتاعي ,neutral,0.9986,0.0002,0.9984
سويفل ممتاز جدا سيارات ممتازه مواعيد جيده وكباتن قمه في الاحترىم والاس,positive,0.9927,0.0591,0.9336
دائما اطلب يجي قبل الوقت [POS_EMOJI],positive,0.9938,0.9707,0.0232
تطيبق بعلق كثير و بطيء و ماني شايف في منو فايده نجمه وحدا افضل شي الكم,negative,0.9938,0.3286,0.6652
جيت من طرف احمد شريف [POS_EMOJI] ، لكن لاحظت انو كثير ناس عجبهم هالمطع,positive,0.982,0.6573,0.3247
Winter Evening (رسمه مستلهمه من الرياض),neutral,0.9979,0.0002,0.9976
عشان كدا، يا عزيزي، هيعمل تغيير صغير في الJob Title بتاعه،,positive,0.9933,0.0427,0.9506
دخلوا اشتروا Sodic، عملوا شويه تغييرات، وباعوها بعد كدا.,positive,0.9985,0.0308,0.9677
يعني في الشغل بيبقي ال .. فرصه ان يبقالك friends بتبقي اصعب، بيبقي ليك,positive,0.9919,0.1172,0.8748
بجدهايلين جدا.... سرعه توصيل والمندوب ذوق جدا وحدراقي.... الف شكرلحضرا,positive,0.9963,0.472,0.5242
رائع [POS_EMOJI],positive,0.9925,0.9891,0.0035
Okay طيب ايه .. ايه ال dream job بتاعتك؟ نفسك تشتغل ايه بعد الجامعه؟,positive,0.9987,0.0151,0.9836
و بدل ما يروح ل institute معين يتعالج فيه او مثلا لو مثلا في القري او ,neutral,0.9987,0.0002,0.9985
للاسف نص المنيو مب موجود .. واذا اخترت شي مايمديك تغير و الملاحظات محد,negative,0.9928,0.9708,0.022
POE.COM ، بمجرد ان انت تعمل عليه تسجيل دخول،,neutral,0.9989,0.0002,0.9987
او Secondeye بقي!,positive,0.9987,0.0019,0.9968
ف therefore انا I don’t mind خالص ان انا افضل موجود فيها حتي لو فيها ج,neutral,0.9993,0.0002,0.9991
وفي الجامعه هنا برضه عندنا بشتغل كمعيد يعني مساعد معيد في دفعه اولي ma,neutral,0.999,0.0002,0.9988
يخلي جوعكم يروووووووح [POS_EMOJI] [POS_EMOJI] [POS_EMOJI],positive,0.9859,0.2006,0.7853
ده احنا كنا مسئولين عنهم بننظمهم بنزل ال ushers ده اغلب ال activities ,neutral,0.9985,0.0002,0.9982
حلو مررره و يعطوك قسائم كل ما تشتري. انا اشتريت kfc و جاني قسيمه من ال,positive,0.9964,0.0413,0.955
Okay طيب لما سافرتي عملتي صحاب كان did you make friends يعني؟,positive,0.994,0.0202,0.9738
اللي هو كان فيه Debate وخناقه، هل دا حقيقي ولا مش حقيقي!,neutral,0.9988,0.0003,0.9986
يعني ابقي موضحاله ان انا في وقت باتكلم عربي الجمله كلها تكون بالعربي و,neutral,0.9991,0.0002,0.9989
مانا قريت ال description بتاعه لما نزل عشان ن choose ال project فانا m,neutral,0.9993,0.0002,0.999
و كل واحد بقي كان بيقعد يتكلم و كان في واحد زي philosopher كده هو اللي,neutral,0.9993,0.0002,0.999
سيء جدا لا انصح بتحميله لا يجيبون الطلب ولا يتصلون [NEG_EMOJI],negative,0.9967,0.9903,0.0064
برنامج [NEG_EMOJI],negative,0.9951,0.9962,-0.0011
هو يا ضد .. يعني مامي مثلا شافت ان انا في ال école كنت بتعب و بذاكر و ,neutral,0.9989,0.0002,0.9987
و فعلا احنا we were friends as in احنا كنا بنزور بعض في ال weekends و ,neutral,0.9988,0.0002,0.9986
الفراخ اللي هناك ما ماتتش، كلها Nuggets!,neutral,0.9992,0.0002,0.999
favorite quote دي حاجه بال French,neutral,0.9988,0.9978,0.001
"Okay طيب في سؤال بيقول would you rather be liked or respected, تختار ا",positive,0.9994,0.0056,0.9938
حلو [POS_EMOJI] [POS_EMOJI] [POS_EMOJI],positive,0.99,0.9846,0.0054
"دا اصلا؟ ""CFA Franc"" وايه هو ال",positive,0.9016,0.0119,0.8898
Okay طيب انت سافرت برا قبل كده؟,neutral,0.9981,0.0003,0.9978
السؤال، When؟,neutral,0.9943,0.006,0.9883
افعي زي الSaw Scaled Viper بتطلق ما يسمي الHemotoxins،,neutral,0.9936,0.0002,0.9934
definitely ال student في الجامعه احلي بكتير عشان ال responsibilities ع,neutral,0.999,0.0002,0.9988
في وقت اقل وبEnergy اقل من التكييف.,neutral,0.9991,0.0002,0.9989
لا، دا هناك جانب خفي لهذا الEntrepreneur المتفائل الجميل المبتسم،,neutral,0.999,0.0003,0.9988
يعني ممكن اه اشيل applications معينه لوقت معين، بس بعد كده هرجع احتاجه,neutral,0.999,0.0003,0.9988
سئ جدا. [NEG_EMOJI] [NEG_EMOJI],negative,0.9963,0.9721,0.0242
انا روحت بلد اسمها Guangzhou في الصين وهي مدينه صناعيه في الصين يعني ه,neutral,0.9984,0.0002,0.9982
Okay طيب انتي بتفكري تدخلي ..,positive,0.9839,0.0042,0.9797
الMug دا بيفكرك بايه؟,positive,0.9989,0.0164,0.9825
السؤال دا اصبح سؤال Global،,positive,0.9578,0.0043,0.9534
بس يعني .. يعني اللي اتعلمته ساعتها ان هو ده اللي كان مطلوب في .. في ك,neutral,0.9991,0.0002,0.9989
English ولا عربي؟,neutral,0.9927,0.9918,0.0009
تطبيق رايعععععععع جدااا جداااا [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [PO,positive,0.9933,0.2171,0.7763
زمان كان ممكن اقولك لا صريحه بس دلوقت بالنسبالي يعني هو انا okay ماشي ,neutral,0.9991,0.0002,0.9989
طب ما يا وليه انا موجود من زمان! جت علي اول يوم في الGym؟!,neutral,0.9992,0.0002,0.999
urgent but not important دي تاني حاجه تتعمل and so forth,positive,0.9019,0.0009,0.901
فنان روعه هه [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS_EMOJ,positive,0.9933,0.986,0.0072
فالمغناطيس كدا هيفضل يلف حوالين محور الRod،,positive,0.9987,0.0711,0.9276
احبكمم يا احلي app,positive,0.9994,0.013,0.9863
احسن تطبيق [POS_EMOJI],positive,0.9941,0.9916,0.0025
اسمها Anchor Protocol,negative,0.9983,0.0005,0.9978
وعنده بصيره لما راهن علي BYD ومؤسسها,positive,0.9798,0.0189,0.9609
ال Secret Service او جهاز الخدمه السريه,neutral,0.9955,0.0002,0.9953
فكره ال Petrodollar Recycling ببساطه,positive,0.9994,0.0026,0.9969
لو شفت مثلا مقارنه، بين عدد اللي كان عندهم Cable وقتها، مثلا، سنه 1970,neutral,0.9993,0.0002,0.999
كدا، احنا حلينا مشكله الناس الParasites،,neutral,0.9989,0.0002,0.9986
ادري ماني من generation-z او الجيل زي يعني بالمناسبه,neutral,0.9982,0.0002,0.998
نظره قد تكون غير عادله، لان Guess What؟,neutral,0.9989,0.0002,0.9986
برنامج زفت والله ماانصح تنزلوه كله كلام فاضي الخدمات زفته وكله والطلب ,negative,0.9953,0.9455,0.0498
لسه محول خط رقم 011 ل WE وللاسف اواجه مشكله في التسجيل! نرجو الافاده,negative,0.9869,0.9689,0.018
الPlasmids دي ممكن تنتقل من بكتيريا للتانيه من مجرد انهم جنب بعض،,neutral,0.8544,0.0002,0.8542
كان عمال يStorch علي العدو طول خط الجبهه!,neutral,0.9988,0.0004,0.9985
انا اواجه مشكله في الطلب وكمان مش بيظهرلي اضف قسيمه وبدور علي خدمه عمل,negative,0.9745,0.978,-0.0035
"ودا اللي خلاها تتسمي في ""امريكا"" بLittle Egypt.",neutral,0.9808,0.0002,0.9806
او علي حسب فهمي للموضوع هم they code بس,neutral,0.9986,0.0005,0.9981
لانه بيدي احساس ان الذئب الAlpha دا اتنافس واتعارك وضرب يمين وضرب شمال,neutral,0.9967,0.0002,0.9965
الطائف حي الغزالي مافيه الا مطعمين بس ولا حتي واحد مشغول والاسعار نار ,negative,0.9946,0.9875,0.0071
يا عيال الكلب يلعن ابوكم لابو صفحه ابوكم يا اخي ازعجتونا بتطبيق دعايات,negative,0.9903,0.9558,0.0345
"هتطلق ""ناسا"" للفضاء، Voyager 1 وVoyager 2،",positive,0.9979,0.0193,0.9786
مش .. مش .. مش عايز ارجع خالص as student anymore ولا ال .. ال .. ال ha,positive,0.9975,0.0098,0.9877
المانيا I have contacts هناك هم دول اللي انا لو يعني لو سافرت خلاص انا,neutral,0.999,0.0003,0.9987
بنفس قيمه وLevel الالحاح اللي عم يلح علي,positive,0.9649,0.0216,0.9433
يعني you have no idea how much research shows ان this is actually very,neutral,0.9979,0.9989,-0.0009
البرنامج حلو والله .. من ناحيه التوصيل والمطاعم [POS_EMOJI],positive,0.9951,0.8931,0.102
روعه روعه روعه [POS_EMOJI] [POS_EMOJI] [POS_EMOJI],positive,0.9941,0.9865,0.0076
عجبتوني ولوو فيه ميه الف نجمه [POS_EMOJI] [POS_EMOJI] كان حطيت بس يالي,positive,0.9968,0.1265,0.8702
"لا انا I would say ان انا شخص سهل جدا جدا, اي حد بتعامل معاه",neutral,0.9992,0.0003,0.9989
لا هو انا حاسه ان احنا عادي يعني ممكن .. ممكن نظبط الحاجات بينا عادي، ,neutral,0.9992,0.0002,0.9989
"فكره الEthnic Cleansing، ""التطهير العرقي""،",positive,0.863,0.0161,0.8468
لConcept ممكن ييجي بعد كدا.,positive,0.9988,0.0043,0.9945
اه دخلت في student activity من و انا في تانيه جامعه,neutral,0.9986,0.0003,0.9983
"شركه ""سامسونج"" مثلا، كان عندها Smart Phones قبل ""ابل""،",neutral,0.9992,0.0002,0.999
[POS_EMOJI] في اكل,positive,0.9773,0.9854,-0.0081
ياليت توفرونgps,negative,0.8089,0.9889,-0.18
علي 30 دراسه، عن التغير في قياسات الدلالات الحيويه، او الBiomarkers,neutral,0.9967,0.0002,0.9964
وهو Serial killer,neutral,0.9965,0.9984,-0.0019
طيب هل فيه بديل لل Liquid Electrolyte,neutral,0.9976,0.0004,0.9973
دخلت major MET Computer Science,negative,0.9984,0.0004,0.998
